CIV E 270 Lec,CIV E 270 Lab,CH E 243 Lec,Ch E 243 Sem,ENGG 299,MATH 209 Lec,MATH 209 Lab,MEC E 200,MEC E 250,STAT 235 Lec,STAT 235 Lab
94.0,,100.0,100.0,100.0,Not M Yet,,66.66666666666666,100.0,84.52380952380952,84.52380952380952
100.0,,100.0,100.0,100.0,96.66666666666667,,82.0,84.0,81.94444444444444,81.94444444444444
Not M Yet,,100.0,Not M Yet,,93.33333333333333,,100.0,97.0,100.0,100.0
Not M Yet,,100.0,Not M Yet,,Not M Yet,,95.0,98.0,Not M Yet,Not M Yet
Not M Yet,,100.0,100.0,,71.66666666666667,,Not M Yet,97.0,Not M Yet,
Not M Yet,,100.0,100.0,,88.33333333333333,,90.0,92.0,100.0,
Not M Yet,,40.0,50.0,,Not M Yet,,Not M Yet,84.0,100.0,
Not M Yet,,100.0,66.66666666666666,,Not M Yet,,Not M Yet,100.0,98.14814814814815,
Not M Yet,,100.0,100.0,,,,Not M Yet,Not M Yet,Not M Yet,
Not M Yet,,Not M Yet,81.25,,,,Not M Yet,Not M Yet,Not M Yet,
Not M Yet,,100.0,100.0,,,,70.0,Not M Yet,60.60606060606061,
83.0,,91.66666666666666,54.54545454545454,,,,85.0,95.43,100.0,
,,82.6086956521739,100.0,,,,,61.0,60.60606060606061,
,,100.0,100.0,,,,,60.0,,
,,77.77777777777779,100.0,,,,,77.0,,
,,100.0,100.0,,,,,97.0,,
,,7.6923076923076925,64.28571428571429,,,,,,,
,,Not M Yet,71.42857142857143,,,,,,,
,,Not M Yet,Not M Yet,,,,,,,
,,Not M Yet,Not M Yet,,,,,,,
